iter	Passed	Remaining
1061	104848	43242
1062	104956	43147
1063	105042	43043
1064	105152	42949
1065	105253	42851
1066	105349	42751
1067	105457	42656
1068	105554	42557
1069	105656	42460
1070	105767	42366
1071	105879	42272
1072	105975	42172
1073	106075	42074
1074	106171	41974
1075	106261	41872
1076	106353	41771
1077	106435	41665
1078	106505	41555
1079	106590	41452
1080	106691	41354
1081	106793	41256
1082	106898	41160
1083	106972	41052
1084	107063	40950
1085	107162	40852
1086	107266	40755
1087	107379	40662
1088	107482	40565
1089	107581	40466
1090	107682	40368
1091	107770	40265
1092	107859	40163
1093	107959	40065
1094	108054	39965
1095	108157	39868
1096	108252	39768
1097	108340	39665
1098	108422	39560
1099	108519	39461
1100	108632	39368
1101	108728	39268
1102	108813	39165
1103	108904	39063
1104	109009	38967
1105	109118	38872
1106	109209	38770
1107	109296	38668
1108	109401	38571
1109	109512	38477
1110	109622	38382
1111	109728	38286
1112	109824	38186
1113	109926	38089
1114	110031	37992
1115	110141	37898
1116	110246	37801
1117	110337	37700
1118	110432	37600
1119	110527	37500
1120	110617	37398
1121	110720	37301
1122	110826	37205
1123	110919	37104
1124	111013	37004
1125	111111	36905
1126	111216	36809
1127	111311	36709
1128	111397	36606
1129	111493	36506
1130	111570	36401
1131	111667	36301
1132	111763	36202
1133	111858	36102
1134	111946	36000
1135	112046	35902
1136	112140	35801
1137	112238	35703
1138	112340	35605
1139	112441	35507
1140	112540	35409
1141	112623	35305
1142	112723	35207
1143	112811	35105
1144	112907	35006
1145	112997	34904
1146	113084	34802
1147	113174	34701
1148	113254	34597
1149	113349	34497
1150	113453	34400
1151	113539	34298
1152	113644	34201
1153	113741	34102
1154	113849	34007
1155	113948	33908
1156	114031	33805
1157	114113	33701
1158	114206	33601
1159	114302	33502
1160	114382	33398
1161	114475	33298
1162	114587	33203
1163	114679	33103
1164	114778	33004
1165	114880	32907
1166	114987	32811
1167	115092	32714
1168	115184	32614
1169	115279	32514
1170	115378	32416
1171	115457	32312
1172	115551	32212
1173	115669	32119
1174	115776	32023
1175	115884	31927
1176	115990	31830
1177	116092	31733
1178	116177	31631
1179	116275	31532
1180	116386	31437
1181	116468	31334
1182	116543	31229
1183	116635	31129
1184	116748	31034
1185	116838	30933
1186	116938	30835
1187	117039	30737
1188	117139	30639
1189	117243	30542
1190	117321	30438
1191	117409	30337
1192	117507	30238
1193	117612	30141
1194	117716	30044
1195	117817	29946
1196	117920	29849
1197	118016	29750
1198	118105	29649
1199	118208	29552
1200	118321	29457
1201	118397	29353
1202	118494	29254
1203	118582	29153
1204	118680	29054
1205	118775	28955
1206	118880	28858
1207	118978	28759
1208	119073	28660
1209	119178	28563
1210	119263	28461
1211	119359	28362
1212	119464	28265
1213	119632	28183
1214	119824	28106
1215	119919	28007
1216	120020	27909
1217	120108	27808
1218	120188	27705
1219	120281	27605
1220	120387	27508
1221	120487	27410
1222	120588	27312
1223	120693	27215
1224	120787	27115
1225	120879	27015
1226	120986	26918
1227	121085	26820
1228	121166	26717
1229	121247	26615
1230	121332	26513
1231	121417	26412
1232	121498	26309
1233	121608	26213
1234	121691	26112
1235	121808	26017
1236	121907	25918
1237	121994	25817
1238	122097	25720
1239	122228	25628
1240	122326	25529
1241	122432	25432
1242	122543	25336
1243	122630	25235
1244	122725	25136
1245	122826	25038
1246	122915	24937
1247	123020	24840
1248	123107	24739
1249	123192	24638
1250	123315	24544
1251	123406	24444
1252	123496	24344
1253	123604	24247
1254	123689	24146
1255	123776	24045
1256	123873	23946
1257	123964	23846
1258	124056	23747
1259	124151	23647
1260	124238	23547
1261	124329	23447
1262	124434	23350
1263	124515	23248
1264	124622	23151
1265	124717	23052
1266	124817	22953
1267	124909	22854
1268	124987	22751
1269	125084	22653
1270	125181	22554
1271	125265	22453
1272	125360	22354
1273	125441	22252
1274	125542	22154
1275	125590	22047
1276	125682	21947
1277	125776	21848
1278	125856	21746
1279	125946	21647
1280	126045	21548
1281	126170	21454
1282	126275	21357
1283	126375	21259
1284	126483	21162
1285	126597	21066
1286	126695	20968
1287	126804	20871
1288	126922	20776
1289	127018	20677
1290	127115	20578
1291	127196	20477
1292	127286	20377
1293	127383	20279
1294	127463	20177
1295	127573	20080
1296	127672	19982
1297	127752	19881
1298	127853	19783
1299	127942	19683
1300	128039	19584
1301	128135	19485
1302	128221	19385
1303	128315	19286
1304	128404	19186
1305	128502	19088
1306	128603	18990
1307	128710	18893
1308	128821	18796
1309	128914	18697
1310	129011	18598
1311	129094	18498
1312	129174	18397
1313	129255	18296
1314	129356	18198
1315	129443	18098
1316	129544	18000
1317	129630	17900
1318	129722	17801
1319	129827	17703
1320	129918	17604
1321	129994	17503
1322	130077	17402
1323	130166	17303
1324	130257	17203
1325	130353	17105
1326	130442	17005
1327	130557	16909
1328	130662	16812
1329	130761	16713
1330	130849	16614
1331	130943	16515
1332	131022	16414
1333	131111	16315
1334	131209	16216
1335	131313	16119
1336	131411	16021
1337	131512	15923
1338	131621	15826
1339	131729	15728
1340	131840	15632
1341	131930	15532
1342	132027	15434
1343	132128	15336
1344	132222	15237
1345	132299	15136
1346	132394	15038
1347	132491	14939
1348	132584	14840
1349	132667	14740
1350	132754	14641
1351	132854	14543
1352	132947	14444
1353	133030	14344
1354	133117	14245
1355	133206	14145
1356	133299	14047
1357	133393	13948
1358	133476	13848
1359	133576	13750
1360	133667	13651
1361	133883	13565
1362	133973	13466
1363	134063	13367
1364	134151	13267
1365	134226	13167
1366	134312	13067
1367	134408	12969
1368	134497	12870
1369	134590	12771
1370	134677	12672
1371	134760	12572
1372	134845	12472
1373	134927	12373
1374	135009	12273
1375	135109	12175
1376	135187	12075
1377	135271	11976
1378	135347	11876
1379	135435	11776
1380	135535	11679
1381	135641	11581
1382	135738	11483
1383	135820	11383
1384	135922	11285
1385	136021	11187
1386	136126	11090
1387	136234	10992
1388	136340	10895
1389	136466	10799
1390	136579	10702
1391	136679	10604
1392	136776	10506
1393	136866	10407
1394	136974	10309
1395	137082	10212
1396	137183	10114
1397	137285	10016
1398	137375	9917
1399	137465	9818
1400	137592	9722
1401	137679	9623
1402	137794	9526
1403	137889	9428
1404	137971	9329
1405	138065	9230
1406	138170	9132
1407	138279	9035
1408	138381	8937
1409	138486	8839
1410	138589	8741
1411	138699	8644
1412	138800	8546
1413	138900	8448
1414	139014	8350
1415	139135	8253
1416	139256	8156
1417	139348	8058
1418	139454	7960
1419	139563	7862
1420	139677	7765
1421	139775	7667
1422	139889	7569
1423	139992	7471
1424	140090	7373
1425	140173	7274
1426	140272	7175
1427	140372	7077
1428	140479	6979
1429	140555	6880
1430	140650	6781
1431	140739	6683
1432	140860	6585
1433	140991	6489
1434	141086	6390
1435	141189	6292
1436	141300	6194
1437	141390	6096
1438	141514	5998
1439	141598	5899
1440	141684	5801
1441	141792	5703
1442	141897	5605
1443	142001	5507
1444	142107	5408
1445	142215	5310
1446	142307	5212
1447	142395	5113
1448	142491	5015
1449	142579	4916
1450	142663	4817
1451	142748	4718
1452	142826	4619
1453	142934	4522
1454	143026	4423
1455	143116	4324
1456	143192	4225
1457	143275	4127
1458	143354	4028
1459	143429	3929
1460	143505	3830
1461	143599	3732
1462	143692	3634
1463	143767	3535
1464	143848	3436
1465	143930	3338
1466	144008	3239
1467	144090	3140
1468	144183	3042
1469	144281	2944
1470	144375	2846
1471	144450	2747
1472	144552	2649
1473	144641	2551
1474	144731	2453
1475	144826	2354
1476	144912	2256
1477	145002	2158
1478	145128	2060
1479	145214	1962
1480	145318	1864
1481	145419	1766
1482	145517	1668
1483	145585	1569
1484	145676	1471
1485	145766	1373
1486	145867	1275
1487	145969	1177
1488	146065	1079
1489	146148	980
1490	146245	882
1491	146356	784
1492	146444	686
1493	146536	588
1494	146611	490
1495	146712	392
1496	146797	294
1497	146898	196
1498	146986	98
1499	147086	0
